cluster,n_bits,n_active_mols,top_fg,top_fg_enrichment
187,3,79,Indole; Morpholine; Nitro group; Piperidine; Halogen (F),6.32; 5.50; 4.37; 2.42; 1.80
188,2,30,Sulfoxide; Thiol; Cyano; Thiophene; Indole,12.57; 4.19; 3.96; 3.29; 2.78
189,9,942,Morpholine; Secondary amine; Ester; Ketone; Pyrimidine,2.08; 2.07; 1.75; 1.72; 1.58
190,13,793,Secondary amine; Hydroxyl (aliphatic); Morpholine; Aldehyde; Halogen (F),3.62; 2.75; 1.78; 1.48; 1.38
191,2,54,Sulfonamide; Aromatic amine; Secondary amine; Furan; Ketone,4.62; 3.22; 2.05; 2.01; 1.97
192,3,96,Halogen (I); Indole; Piperazine; Aldehyde; Piperidine,7.30; 6.94; 3.76; 3.21; 2.39
193,9,361,Pyridine; Halogen (Br); Sulfoxide; Sulfonamide; Piperidine,4.64; 3.20; 2.09; 1.58; 1.48
194,3,101,Halogen (Br); Morpholine; Primary amine; Pyridine; Piperidine,8.49; 3.23; 2.77; 2.42; 2.27
195,11,368,Indole; Piperidine; Pyrimidine; Thioether; Piperazine,3.85; 2.24; 2.03; 1.92; 1.72
196,4,81,Furan; Halogen (F); Morpholine; Pyridine; Sulfone,8.05; 2.99; 2.68; 2.61; 1.80
197,3,50,Pyrimidine; Sulfone; Hydroxyl (aliphatic); Thioether; Sulfonamide,17.89; 5.83; 2.75; 2.36; 2.14
198,3,71,Thiophene; Halogen (I); Piperazine; Tertiary amine; Sulfone,6.95; 4.23; 3.18; 2.65; 2.05
199,2,23,Furan; Pyridine; Halogen (F); Aldehyde; Ester,4.72; 3.54; 3.10; 2.68; 2.06
200,8,147,Indole; Sulfone; Furan; Piperazine; Piperidine,4.53; 3.96; 3.70; 2.76; 2.73
201,4,193,Indole; Piperazine; Amide; Sulfoxide; Secondary amine,3.45; 2.57; 2.01; 1.95; 1.95
202,3,62,Cyano; Halogen (I); Thioether; Halogen (Br); Piperidine,3.83; 3.23; 3.04; 3.01; 2.47
203,4,111,Halogen (I); Ketone; Sulfone; Sulfoxide; Piperidine,4.51; 4.11; 3.94; 3.40; 2.24
204,7,237,Morpholine; Cyano; Sulfone; Tertiary amine; Piperazine,3.21; 3.17; 3.07; 2.27; 2.10
205,3,39,Furan; Amide; Ketone; Indole; Cyano,2.79; 2.24; 2.18; 2.13; 2.03
206,4,55,Thiophene; Morpholine; Cyano; Thiol; Furan,7.17; 5.93; 5.04; 2.29; 1.98
207,2,27,Morpholine; Furan; Thiophene; Piperidine; Halogen (F),8.05; 8.05; 3.65; 3.54; 3.17
208,3,68,Halogen (I); Piperidine; Sulfone; Hydroxyl (aliphatic); Tertiary amine,2.95; 2.53; 2.14; 1.77; 1.71
209,7,211,Furan; Sulfoxide; Pyridine; Sulfone; Halogen (F),18.02; 8.94; 2.31; 2.07; 1.89
210,6,87,Sulfoxide; Morpholine; Furan; Sulfonamide; Aldehyde,8.67; 5.00; 2.50; 2.46; 2.13
211,13,705,Piperidine; Pyrimidine; Indole; Halogen (F); Ketone,2.42; 1.90; 1.89; 1.72; 1.61
212,7,187,Halogen (I); Indole; Morpholine; Amide; Cyano,12.86; 3.12; 2.32; 2.13; 2.12
213,4,141,Ketone; Aldehyde; Thiophene; Halogen (Br); Ester,4.59; 3.06; 2.10; 1.85; 1.55
214,2,40,Thioether; Furan; Sulfonamide; Halogen (I); Cyano,8.84; 8.15; 3.56; 2.50; 1.98
215,4,100,Sulfoxide; Sulfonamide; Pyrimidine; Ketone; Hydroxyl (aliphatic),15.08; 3.56; 2.98; 1.70; 1.55
216,2,33,Phenol; Thiophene; Sulfonamide; Halogen (Cl); Aldehyde,3.41; 2.99; 2.16; 1.95; 1.87
217,4,195,Sulfoxide; Aromatic amine; Halogen (I); Secondary amine; Piperazine,7.74; 2.11; 2.05; 1.93; 1.85
218,3,89,Sulfonamide; Halogen (Cl); Piperazine; Pyridine; Hydroxyl (aliphatic),2.00; 1.80; 1.52; 1.46; 1.35
219,16,597,Indole; Sulfoxide; Amide; Thiophene; Hydroxyl (aliphatic),3.35; 2.53; 2.36; 1.82; 1.66
220,2,25,Cyano; Morpholine; Sulfonamide; Halogen (I); Aldehyde,4.75; 4.35; 4.27; 4.01; 2.47
221,6,416,Halogen (Br); Sulfonamide; Thiophene; Indole; Sulfone,15.32; 4.88; 1.90; 1.60; 1.40
222,4,508,Halogen (I); Amide; Indole; Piperidine; Thiophene,3.35; 2.89; 2.79; 2.18; 2.14
223,2,30,Furan; Morpholine; Thiophene; Piperazine; Ketone,3.62; 3.62; 3.29; 3.01; 2.48
224,2,49,Sulfoxide; Furan; Morpholine; Sulfone; Piperidine,7.70; 4.44; 4.44; 2.97; 2.73
225,6,197,Sulfoxide; Piperazine; Halogen (I); Thiophene; Tertiary amine,32.54; 6.88; 4.58; 4.51; 2.50
