cluster,n_bits,chemical_label,physchem_flags,top_fg,top_smarts,rep_smiles,rep_mw,rep_logp,rep_hbd,rep_hba,rep_tpsa,rep_arom_rings,rep_frac_csp3,mean_importance_rank
167,6,Ether / Carboxylic acid,low-MW fragment,Ether; Carboxylic acid; Ester; Hydroxyl (aliphatic); Thioether,[#6]-[#6](-[#6])-[#8]-[#6](-[#6])=[#8]; [#8]-[#6@](-[#6])(-[#8])-[#6@H]; [#6]-[#6@H](-[#6])-[#8]-[#6](-[#6])=[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,132.08333333333334
168,79,Hydroxyl (aliphatic) / Ketone,low-MW fragment,Hydroxyl (aliphatic); Ketone; Amide; Ether; Carboxylic acid,[#6]-[#6]-[#6]; [#6]-[#6](=[#8])-[#6]; [#6]=[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,7.966666666666667
169,8,Primary amine / Thioether,low-MW fragment,Primary amine; Thioether; Ether; Amide; Hydroxyl (aliphatic),[#6]-[#6]-[#6]-[#6]-[#7+]; [#6]-[#16]-[#6]; [#6]-[#6]-[#7+](:[#6]:[#6]):[#6]:[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,128.18333333333334
170,6,Ether,low-MW fragment,Ether,[#6]-[#6](:[#6]:[#6]:[#6]):[#6]; [#6]:[#6]:[#6]:[#6](-[#6]):[#6]; [#6]:[#6](-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,75.01666666666667
171,2,Primary amine / Hydroxyl (aliphatic),low-MW fragment,Primary amine; Hydroxyl (aliphatic); Ether; Tertiary amine,[#8]-[#6]-[#7]; [#7]-[#6]-[#15](=[#8])(-[#8])-[#8]; [#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6@H],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,220.36666666666667
172,4,Primary amine / Hydroxyl (aliphatic),low-MW fragment,Primary amine; Hydroxyl (aliphatic); Ether; Thiol; Carboxylic acid,[#6]-[#6](-[#6])-[#7]; [#6]-[#6]-[#6]-[#8]; [#6]-[#6@H](-[#6])-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,120.36666666666666
173,4,Primary amine / Hydroxyl (aliphatic),low-MW fragment,Primary amine; Hydroxyl (aliphatic); Ether; Halogen (F); Tertiary amine,[#6]-[#8]-[#15](=[#8])(-[#8]-[#6])-[#8]-[#6]; [#7]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6](-[#6])(-[#6])-[#6]; [#6]-[#6](-[#6])(-[#6])-[#7](-[#6]-[#7])-[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,146.76666666666668
174,2,Amide / Ester,low-MW fragment,Amide; Ester; Ether; Nitro group,[#7]-[#7+](=[#8])-[#8-]; [#6]-[#8]-[#6](=[#8])-[#7]-[#6]; [#6]:[#6](-[#8]):[#6](:[#6]:[#6]):[#6](:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,201.93333333333334
175,9,Hydroxyl (aliphatic) / Nitro group,low-MW fragment,Hydroxyl (aliphatic); Nitro group; Ether; Thioether; Ketone,[#6]-[#6](-[#6])(-[#6])-[#6]; [#7]-[#7]-[#6]; [#6]-[#7]-[#7],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,81.61666666666666
176,5,Primary amine / Hydroxyl (aliphatic),low-MW fragment,Primary amine; Hydroxyl (aliphatic); Ether,[#6]-[#6](:[#6]:[#6]:[#6]):[#6]; [#6]-[#6](:[#6]):[#6]:[#6]:[#6]; [#7]:[#6](-[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,79.45
177,4,Halogen (Cl) / Ether,low-MW fragment,Halogen (Cl); Ether; Primary amine,[#6]:[#6](-[#7]):[#6](-[#17]):[#6]:[#6]; [#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17]; [#6]:[#6]:[#6](-[#17]):[#6](-[#7]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,196.8
178,2,Ether / Thiol,low-MW fragment,Ether; Thiol; Hydroxyl (aliphatic),[#7]:[#6]:[#7]:[#6](:[#6]):[#6]; [#6]-[#8]-[#6](-[#6])-[#8]-[#6]; [#6]-[#6]-[#6]-[#6@@H](-[#16])-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,195.11666666666667
179,3,Hydroxyl (aliphatic) / Ether,low-MW fragment,Hydroxyl (aliphatic); Ether; Tertiary amine; Thiol; Primary amine,[#7+]-[#6]=[#6]; [#6]-[#7](-[#6]-[#6]-[#8])-[#6]; [#6]:[#6](:[#6])-[#6@H](-[#8]-[#6@H])-[#6@@H](-[#6@H])-[#8],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,193.1
180,5,Carboxylic acid / Ester,low-MW fragment,Carboxylic acid; Ester; Ether; Hydroxyl (aliphatic); Thiol,[#6]=[#6](-[#6])-[#6](=[#8])-[#8]-[#6]; [#6]-[#8]-[#6](=[#8])-[#6](=[#6])-[#6]; [#6]-[#6](:[#7]:[#6]:[#6]):[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,84.55
181,4,Thiol / Hydroxyl (aliphatic),low-MW fragment,Thiol; Hydroxyl (aliphatic); Ketone; Thioether; Secondary amine,[#16]-[#6](:[#6]:[#6]:[#6]):[#6]; [#16]-[#6](:[#6]):[#6]:[#6]:[#6]; [#6]-[#6](=[#8])-[#6]-[#6],O=C(O)c1ccc(Cl)cc1Cl,191.0,2.69,1,1,37.3,1,0.0,155.73333333333332
